method,return_type,return_description
java.lang.StringBuffer.capacity(),int,the current capacity
java.lang.StringBuffer.ensureCapacity(int),void,
java.lang.StringBuffer.trimToSize(),void,
java.lang.StringBuffer.setLength(int),void,
java.lang.StringBuffer.charAt(int),char,the char value at the specified index.
java.lang.StringBuffer.codePointAt(int),int,the code point value of the character at the index
java.lang.StringBuffer.codePointBefore(int),int,the Unicode code point value before the given index.
"java.lang.StringBuffer.codePointCount(int,int)",int,the number of Unicode code points in the specified text range
"java.lang.StringBuffer.offsetByCodePoints(int,int)",int,the index within this sequence
"java.lang.StringBuffer.getChars(int,int,char[],int)",void,
"java.lang.StringBuffer.setCharAt(int,char)",void,
java.lang.StringBuffer.append(Object),StringBuffer,a reference to this object.
java.lang.StringBuffer.append(String),StringBuffer,a reference to this object.
java.lang.StringBuffer.append(StringBuffer),StringBuffer,a reference to this object.
java.lang.StringBuffer.append(CharSequence),StringBuffer,a reference to this object.
"java.lang.StringBuffer.append(CharSequence,int,int)",StringBuffer,a reference to this object.
java.lang.StringBuffer.append(char[]),StringBuffer,a reference to this object.
"java.lang.StringBuffer.append(char[],int,int)",StringBuffer,a reference to this object.
java.lang.StringBuffer.append(boolean),StringBuffer,a reference to this object.
java.lang.StringBuffer.append(char),StringBuffer,a reference to this object.
java.lang.StringBuffer.append(int),StringBuffer,a reference to this object.
java.lang.StringBuffer.appendCodePoint(int),StringBuffer,a reference to this object.
java.lang.StringBuffer.append(long),StringBuffer,a reference to this object.
java.lang.StringBuffer.append(float),StringBuffer,a reference to this object.
java.lang.StringBuffer.append(double),StringBuffer,a reference to this object.
"java.lang.StringBuffer.delete(int,int)",StringBuffer,This object.
java.lang.StringBuffer.deleteCharAt(int),StringBuffer,This object.
"java.lang.StringBuffer.replace(int,int,String)",StringBuffer,This object.
java.lang.StringBuffer.substring(int),String,The new string.
"java.lang.StringBuffer.subSequence(int,int)",CharSequence,the specified subsequence.
"java.lang.StringBuffer.substring(int,int)",String,The new string.
"java.lang.StringBuffer.insert(int,char[],int,int)",StringBuffer,This object
"java.lang.StringBuffer.insert(int,Object)",StringBuffer,a reference to this object.
"java.lang.StringBuffer.insert(int,String)",StringBuffer,
"java.lang.StringBuffer.insert(int,char[])",StringBuffer,a reference to this object.
"java.lang.StringBuffer.insert(int,CharSequence)",StringBuffer,a reference to this object.
"java.lang.StringBuffer.insert(int,CharSequence,int,int)",StringBuffer,
"java.lang.StringBuffer.insert(int,boolean)",StringBuffer,a reference to this object.
"java.lang.StringBuffer.insert(int,char)",StringBuffer,a reference to this object.
"java.lang.StringBuffer.insert(int,int)",StringBuffer,a reference to this object.
"java.lang.StringBuffer.insert(int,long)",StringBuffer,a reference to this object.
"java.lang.StringBuffer.insert(int,float)",StringBuffer,a reference to this object.
"java.lang.StringBuffer.insert(int,double)",StringBuffer,a reference to this object.
java.lang.StringBuffer.indexOf(String),int,"if the string argument occurs as a substring within this object, then the index of the first character of the first such substring is returned; if it does not occur as a substring, -1 is returned."
"java.lang.StringBuffer.indexOf(String,int)",int,"the index within this string of the first occurrence of the specified substring, starting at the specified index."
java.lang.StringBuffer.lastIndexOf(String),int,"if the string argument occurs one or more times as a substring within this object, then the index of the first character of the last such substring is returned. If it does not occur as a substring, -1 is returned."
"java.lang.StringBuffer.lastIndexOf(String,int)",int,the index within this sequence of the last occurrence of the specified substring.
java.lang.StringBuffer.reverse(),StringBuffer,a reference to this object.
java.lang.StringBuffer.toString(),String,a string representation of this sequence of characters.
java.lang.StringBuilder.append(Object),StringBuilder,a reference to this object.
java.lang.StringBuilder.append(String),StringBuilder,a reference to this object.
java.lang.StringBuilder.append(StringBuffer),StringBuilder,a reference to this object.
java.lang.StringBuilder.append(CharSequence),StringBuilder,A reference to this Appendable
"java.lang.StringBuilder.append(CharSequence,int,int)",StringBuilder,a reference to this object.
java.lang.StringBuilder.append(char[]),StringBuilder,a reference to this object.
"java.lang.StringBuilder.append(char[],int,int)",StringBuilder,a reference to this object.
java.lang.StringBuilder.append(boolean),StringBuilder,a reference to this object.
java.lang.StringBuilder.append(char),StringBuilder,a reference to this object.
java.lang.StringBuilder.append(int),StringBuilder,a reference to this object.
java.lang.StringBuilder.append(long),StringBuilder,a reference to this object.
java.lang.StringBuilder.append(float),StringBuilder,a reference to this object.
java.lang.StringBuilder.append(double),StringBuilder,a reference to this object.
java.lang.StringBuilder.appendCodePoint(int),StringBuilder,a reference to this object.
"java.lang.StringBuilder.delete(int,int)",StringBuilder,This object.
java.lang.StringBuilder.deleteCharAt(int),StringBuilder,This object.
"java.lang.StringBuilder.replace(int,int,String)",StringBuilder,This object.
"java.lang.StringBuilder.insert(int,char[],int,int)",StringBuilder,This object
"java.lang.StringBuilder.insert(int,Object)",StringBuilder,a reference to this object.
"java.lang.StringBuilder.insert(int,String)",StringBuilder,
"java.lang.StringBuilder.insert(int,char[])",StringBuilder,a reference to this object.
"java.lang.StringBuilder.insert(int,CharSequence)",StringBuilder,a reference to this object.
"java.lang.StringBuilder.insert(int,CharSequence,int,int)",StringBuilder,
"java.lang.StringBuilder.insert(int,boolean)",StringBuilder,a reference to this object.
"java.lang.StringBuilder.insert(int,char)",StringBuilder,a reference to this object.
"java.lang.StringBuilder.insert(int,int)",StringBuilder,a reference to this object.
"java.lang.StringBuilder.insert(int,long)",StringBuilder,a reference to this object.
"java.lang.StringBuilder.insert(int,float)",StringBuilder,a reference to this object.
"java.lang.StringBuilder.insert(int,double)",StringBuilder,a reference to this object.
java.lang.StringBuilder.indexOf(String),int,"if the string argument occurs as a substring within this object, then the index of the first character of the first such substring is returned; if it does not occur as a substring, -1 is returned."
"java.lang.StringBuilder.indexOf(String,int)",int,"the index within this string of the first occurrence of the specified substring, starting at the specified index."
java.lang.StringBuilder.lastIndexOf(String),int,"if the string argument occurs one or more times as a substring within this object, then the index of the first character of the last such substring is returned. If it does not occur as a substring, -1 is returned."
"java.lang.StringBuilder.lastIndexOf(String,int)",int,the index within this sequence of the last occurrence of the specified substring.
java.lang.StringBuilder.reverse(),StringBuilder,a reference to this object.
java.lang.StringBuilder.toString(),String,a string representation of this sequence of characters.
java.lang.StringBuilder.length(),int,the length of the sequence of characters currently represented by this object
java.lang.StringBuilder.capacity(),int,the current capacity
java.lang.StringBuilder.ensureCapacity(int),void,
java.lang.StringBuilder.trimToSize(),void,
java.lang.StringBuilder.setLength(int),void,
java.lang.StringBuilder.charAt(int),char,the char value at the specified index.
java.lang.StringBuilder.codePointAt(int),int,the code point value of the character at the index
java.lang.StringBuilder.codePointBefore(int),int,the Unicode code point value before the given index.
"java.lang.StringBuilder.codePointCount(int,int)",int,the number of Unicode code points in the specified text range
"java.lang.StringBuilder.offsetByCodePoints(int,int)",int,the index within this sequence
"java.lang.StringBuilder.getChars(int,int,char[],int)",void,
"java.lang.StringBuilder.setCharAt(int,char)",void,
java.lang.StringBuilder.substring(int),String,The new string.
"java.lang.StringBuilder.subSequence(int,int)",CharSequence,the specified subsequence.
"java.lang.StringBuilder.substring(int,int)",String,The new string.
java.lang.System.setIn(InputStream),void,
java.lang.System.setOut(PrintStream),void,
java.lang.System.setErr(PrintStream),void,
java.lang.System.console(),Console,"The system console, if any, otherwise null."
java.lang.System.inheritedChannel(),Channel,"The inherited channel, if any, otherwise null."
java.lang.System.setSecurityManager(SecurityManager),void,
java.lang.System.getSecurityManager(),SecurityManager,"if a security manager has already been established for the current application, then that security manager is returned; otherwise, null is returned."
java.lang.System.currentTimeMillis(),long,"the difference, measured in milliseconds, between the current time and midnight, January 1, 1970 UTC."
java.lang.System.nanoTime(),long,"the current value of the running Java Virtual Machine's high-resolution time source, in nanoseconds"
"java.lang.System.arraycopy(Object,int,Object,int,int)",void,
java.lang.System.identityHashCode(Object),int,the hashCode
java.lang.System.getProperties(),Properties,the system properties
java.lang.System.lineSeparator(),String,the system-dependent line separator string
java.lang.System.setProperties(Properties),void,
java.lang.System.getProperty(String),String,"the string value of the system property, or null if there is no property with that key."
"java.lang.System.getProperty(String,String)",String,"the string value of the system property, or the default value if there is no property with that key."
"java.lang.System.setProperty(String,String)",String,"the previous value of the system property, or null if it did not have one."
java.lang.System.clearProperty(String),String,"the previous string value of the system property, or null if there was no property with that key."
java.lang.System.getenv(String),String,"the string value of the variable, or null if the variable is not defined in the system environment"
java.lang.System.getenv(),"Map&lt;String,String&gt;",the environment as a map of variable names to values
java.lang.System.exit(int),void,
java.lang.System.gc(),void,
java.lang.System.runFinalization(),void,
java.lang.System.runFinalizersOnExit(boolean),void,
java.lang.System.load(String),void,
java.lang.System.loadLibrary(String),void,
java.lang.System.mapLibraryName(String),String,a platform-dependent native library name.
java.lang.Thread.currentThread(),Thread,the currently executing thread.
java.lang.Thread.yield(),void,
java.lang.Thread.sleep(long),void,
"java.lang.Thread.sleep(long,int)",void,
java.lang.Thread.clone(),Object,a clone of this instance.
java.lang.Thread.start(),void,
java.lang.Thread.run(),void,
java.lang.Thread.stop(),void,
java.lang.Thread.stop(Throwable),void,
java.lang.Thread.interrupt(),void,
java.lang.Thread.interrupted(),boolean,true if the current thread has been interrupted; false otherwise.
java.lang.Thread.isInterrupted(),boolean,true if this thread has been interrupted; false otherwise.
java.lang.Thread.destroy(),void,
java.lang.Thread.isAlive(),boolean,true if this thread is alive; false otherwise.
java.lang.Thread.suspend(),void,
java.lang.Thread.resume(),void,
java.lang.Thread.setPriority(int),void,
java.lang.Thread.getPriority(),int,this thread's priority.
java.lang.Thread.setName(String),void,
java.lang.Thread.getName(),String,this thread's name.
java.lang.Thread.getThreadGroup(),ThreadGroup,this thread's thread group.
java.lang.Thread.activeCount(),int,an estimate of the number of active threads in the current thread's thread group and in any other thread group that has the current thread's thread group as an ancestor
java.lang.Thread.enumerate(Thread[]),int,the number of threads put into the array
java.lang.Thread.countStackFrames(),int,the number of stack frames in this thread.
java.lang.Thread.join(long),void,
"java.lang.Thread.join(long,int)",void,
java.lang.Thread.join(),void,
java.lang.Thread.dumpStack(),void,
java.lang.Thread.setDaemon(boolean),void,
java.lang.Thread.isDaemon(),boolean,true if this thread is a daemon thread; false otherwise.
java.lang.Thread.checkAccess(),void,
java.lang.Thread.toString(),String,a string representation of this thread.
java.lang.Thread.getContextClassLoader(),ClassLoader,"the context ClassLoader for this Thread, or null indicating the system class loader (or, failing that, the bootstrap class loader)"
java.lang.Thread.setContextClassLoader(ClassLoader),void,
java.lang.Thread.holdsLock(Object),boolean,true if the current thread holds the monitor lock on the specified object.
java.lang.Thread.getStackTrace(),StackTraceElement[],"an array of StackTraceElement, each represents one stack frame."
java.lang.Thread.getAllStackTraces(),"Map&lt;Thread,StackTraceElement[]&gt;",a Map from Thread to an array of StackTraceElement that represents the stack trace of the corresponding thread.
java.lang.Thread.getId(),long,this thread's ID.
java.lang.Thread.getState(),Thread.State,this thread's state.
java.lang.Thread.setDefaultUncaughtExceptionHandler(Thread.UncaughtExceptionHandler),void,
java.lang.Thread.getDefaultUncaughtExceptionHandler(),Thread.UncaughtExceptionHandler,the default uncaught exception handler for all threads
java.lang.Thread.getUncaughtExceptionHandler(),Thread.UncaughtExceptionHandler,the uncaught exception handler for this thread
java.lang.Thread.setUncaughtExceptionHandler(Thread.UncaughtExceptionHandler),void,
java.lang.ThreadGroup.getName(),String,the name of this thread group.
java.lang.ThreadGroup.getParent(),ThreadGroup,the parent of this thread group. The top-level thread group is the only thread group whose parent is null.
java.lang.ThreadGroup.getMaxPriority(),int,the maximum priority that a thread in this thread group can have.
java.lang.ThreadGroup.isDaemon(),boolean,true if this thread group is a daemon thread group; false otherwise.
java.lang.ThreadGroup.isDestroyed(),boolean,true if this object is destroyed
java.lang.ThreadGroup.setDaemon(boolean),void,
java.lang.ThreadGroup.setMaxPriority(int),void,
java.lang.ThreadGroup.parentOf(ThreadGroup),boolean,true if this thread group is the thread group argument or one of its ancestor thread groups; false otherwise.
java.lang.ThreadGroup.checkAccess(),void,
java.lang.ThreadGroup.activeCount(),int,an estimate of the number of active threads in this thread group and in any other thread group that has this thread group as an ancestor
java.lang.ThreadGroup.enumerate(Thread[]),int,the number of threads put into the array
"java.lang.ThreadGroup.enumerate(Thread[],boolean)",int,the number of threads put into the array
java.lang.ThreadGroup.activeGroupCount(),int,the number of active thread groups with this thread group as an ancestor
java.lang.ThreadGroup.enumerate(ThreadGroup[]),int,the number of thread groups put into the array
"java.lang.ThreadGroup.enumerate(ThreadGroup[],boolean)",int,the number of thread groups put into the array
java.lang.ThreadGroup.stop(),void,
java.lang.ThreadGroup.interrupt(),void,
java.lang.ThreadGroup.suspend(),void,
java.lang.ThreadGroup.resume(),void,
java.lang.ThreadGroup.destroy(),void,
java.lang.ThreadGroup.list(),void,
"java.lang.ThreadGroup.uncaughtException(Thread,Throwable)",void,
java.lang.ThreadGroup.allowThreadSuspension(boolean),boolean,true on success
java.lang.ThreadGroup.toString(),String,a string representation of this thread group.
java.lang.ThreadLocal.initialValue(),T,the initial value for this thread-local
java.lang.ThreadLocal.withInitial(Supplier&lt;?),&lt;S&gt;ThreadLocal&lt;S&gt;,a new thread local variable
java.lang.ThreadLocal.get(),T,the current thread's value of this thread-local
java.lang.ThreadLocal.set(T),void,
java.lang.ThreadLocal.remove(),void,
java.lang.Throwable.getMessage(),String,the detail message string of this Throwable instance (which may be null).
java.lang.Throwable.getLocalizedMessage(),String,The localized description of this throwable.
java.lang.Throwable.getCause(),Throwable,the cause of this throwable or null if the cause is nonexistent or unknown.
java.lang.Throwable.initCause(Throwable),Throwable,a reference to this Throwable instance.
java.lang.Throwable.toString(),String,
java.lang.Throwable.printStackTrace(),void,
java.lang.Throwable.printStackTrace(PrintStream),void,
java.lang.Throwable.printStackTrace(PrintWriter),void,
java.lang.Throwable.fillInStackTrace(),Throwable,a reference to this Throwable instance.
java.lang.Throwable.getStackTrace(),StackTraceElement[],an array of stack trace elements representing the stack trace pertaining to this throwable.
java.lang.Throwable.setStackTrace(StackTraceElement[]),void,
java.lang.Throwable.addSuppressed(Throwable),void,
java.lang.Throwable.getSuppressed(),Throwable[],an array containing all of the exceptions that were suppressed to deliver this exception.
java.lang.instrument.ClassDefinition.getDefinitionClass(),Class&lt;?&gt;,the Class object referred to.
java.lang.instrument.ClassDefinition.getDefinitionClassFile(),byte[],the class file bytes.
java.lang.invoke.CallSite.type(),MethodType,"the type of the current target, which is also the type of any future target"
java.lang.invoke.CallSite.getTarget(),abstractMethodHandle,"the current linkage state of the call site, its target method handle"
java.lang.invoke.CallSite.setTarget(MethodHandle),abstractvoid,
java.lang.invoke.CallSite.dynamicInvoker(),abstractMethodHandle,a method handle which always invokes this call site's current target
java.lang.invoke.ConstantCallSite.getTarget(),MethodHandle,"the immutable linkage state of this call site, a constant method handle"
java.lang.invoke.ConstantCallSite.setTarget(MethodHandle),void,
java.lang.invoke.ConstantCallSite.dynamicInvoker(),MethodHandle,"the immutable linkage state of this call site, a constant method handle"
"java.lang.invoke.LambdaMetafactory.metafactory(MethodHandles.Lookup,String,MethodType,MethodType,MethodHandle,MethodType)",CallSite,"a CallSite whose target can be used to perform capture, generating instances of the interface named by invokedType"
"java.lang.invoke.LambdaMetafactory.altMetafactory(MethodHandles.Lookup,String,MethodType,Object...)",CallSite,
java.lang.invoke.MethodHandle.type(),MethodType,the method handle type
java.lang.invoke.MethodHandle.invokeExact(Object...),Object,"the signature-polymorphic result, statically represented using Object"
java.lang.invoke.MethodHandle.invoke(Object...),Object,"the signature-polymorphic result, statically represented using Object"
java.lang.invoke.MethodHandle.invokeWithArguments(Object...),Object,
java.lang.invoke.MethodHandle.invokeWithArguments(List&lt;?&gt;),Object,the result returned by the target
java.lang.invoke.MethodHandle.asType(MethodType),MethodHandle,
"java.lang.invoke.MethodHandle.asSpreader(Class&lt;?&gt;,int)",MethodHandle,"a new method handle which spreads its final array argument, before calling the original method handle"
"java.lang.invoke.MethodHandle.asCollector(Class&lt;?&gt;,int)",MethodHandle,"a new method handle which collects some trailing argument into an array, before calling the original method handle"
java.lang.invoke.MethodHandle.asVarargsCollector(Class&lt;?&gt;),MethodHandle,"a new method handle which can collect any number of trailing arguments into an array, before calling the original method handle"
java.lang.invoke.MethodHandle.isVarargsCollector(),boolean,
java.lang.invoke.MethodHandle.asFixedArity(),MethodHandle,a new method handle which accepts only a fixed number of arguments
java.lang.invoke.MethodHandle.bindTo(Object),MethodHandle,"a new method handle which prepends the given value to the incoming argument list, before calling the original method handle"
java.lang.invoke.MethodHandle.toString(),String,a string representation of the method handle
"java.lang.invoke.MethodHandleProxies.asInterfaceInstance(Class&lt;T&gt;,MethodHandle)",&lt;T&gt;T,a correctly-typed wrapper for the given target
java.lang.invoke.MethodHandleProxies.isWrapperInstance(Object),boolean,true if the reference is not null and points to an object produced by asInterfaceInstance
java.lang.invoke.MethodHandleProxies.wrapperInstanceTarget(Object),MethodHandle,a method handle implementing the unique method
java.lang.invoke.MethodHandleProxies.wrapperInstanceType(Object),Class&lt;?&gt;,the single-method interface type for which the wrapper was created
java.lang.invoke.MethodHandles.lookup(),MethodHandles.Lookup,"a lookup object for the caller of this method, with private access"
java.lang.invoke.MethodHandles.publicLookup(),MethodHandles.LookupLookup(),a lookup object which is trusted minimally
"java.lang.invoke.MethodHandles.reflectAs(Class&lt;T&gt;,MethodHandle)",&lt;T extends Member&gt;T,"a reference to the method, constructor, or field object"
java.lang.invoke.MethodHandles.arrayElementGetter(Class&lt;?&gt;),MethodHandle,a method handle which can load values from the given array type
java.lang.invoke.MethodHandles.arrayElementSetter(Class&lt;?&gt;),MethodHandle,a method handle which can store values into the array type
"java.lang.invoke.MethodHandles.spreadInvoker(MethodType,int)",MethodHandle,
java.lang.invoke.MethodHandles.exactInvoker(MethodType),MethodHandle,a method handle suitable for invoking any method handle of the given type
java.lang.invoke.MethodHandles.invoker(MethodType),MethodHandle,a method handle suitable for invoking any method handle convertible to the given type
"java.lang.invoke.MethodHandles.explicitCastArguments(MethodHandle,MethodType)",MethodHandle,
"java.lang.invoke.MethodHandles.permuteArguments(MethodHandle,MethodType,int...)",MethodHandle,a method handle which delegates to the target after it drops unused arguments and moves and/or duplicates the other arguments
"java.lang.invoke.MethodHandles.constant(Class&lt;?&gt;,Object)",MethodHandle,"a method handle of the given return type and no arguments, which always returns the given value"
java.lang.invoke.MethodHandles.identity(Class&lt;?&gt;),MethodHandle,a unary method handle which accepts and returns the given type
"java.lang.invoke.MethodHandles.insertArguments(MethodHandle,int,Object...)",MethodHandle,"a method handle which inserts an additional argument, before calling the original method handle"
"java.lang.invoke.MethodHandles.dropArguments(MethodHandle,int,List&lt;Class&lt;?&gt;&gt;)",MethodHandle,"a method handle which drops arguments of the given types, before calling the original method handle"
"java.lang.invoke.MethodHandles.dropArguments(MethodHandle,int,Class&lt;?&gt;...)",MethodHandle,"a method handle which drops arguments of the given types, before calling the original method handle"
"java.lang.invoke.MethodHandles.filterArguments(MethodHandle,int,MethodHandle...)",MethodHandle,method handle which incorporates the specified argument filtering logic
"java.lang.invoke.MethodHandles.collectArguments(MethodHandle,int,MethodHandle)",MethodHandle,method handle which incorporates the specified argument subsequence filtering logic
"java.lang.invoke.MethodHandles.filterReturnValue(MethodHandle,MethodHandle)",MethodHandle,method handle which incorporates the specified return value filtering logic
"java.lang.invoke.MethodHandles.foldArguments(MethodHandle,MethodHandle)",MethodHandle,method handle which incorporates the specified argument folding logic
"java.lang.invoke.MethodHandles.guardWithTest(MethodHandle,MethodHandle,MethodHandle)",MethodHandle,method handle which incorporates the specified if/then/else logic
"java.lang.invoke.MethodHandles.catchException(MethodHandle,Class&lt;?,MethodHandle)",MethodHandle,method handle which incorporates the specified try/catch logic
"java.lang.invoke.MethodHandles.throwException(Class&lt;?&gt;,Class&lt;?)",MethodHandle,method handle which can throw the given exceptions
java.lang.invoke.MethodHandles.Lookup.lookupClass(),Class&lt;?&gt;,"the lookup class, on behalf of which this lookup object finds members"
java.lang.invoke.MethodHandles.Lookup.lookupModes(),int,"the lookup modes, which limit the kinds of access performed by this lookup object"
java.lang.invoke.MethodHandles.Lookup.in(Class&lt;?&gt;),MethodHandles.Lookup,
java.lang.invoke.MethodHandles.Lookup.toString(),String,
"java.lang.invoke.MethodHandles.Lookup.findStatic(Class&lt;?&gt;,String,MethodType)",MethodHandle,the desired method handle
"java.lang.invoke.MethodHandles.Lookup.findVirtual(Class&lt;?&gt;,String,MethodType)",MethodHandle,the desired method handle
"java.lang.invoke.MethodHandles.Lookup.findConstructor(Class&lt;?&gt;,MethodType)",MethodHandle,the desired method handle
"java.lang.invoke.MethodHandles.Lookup.findSpecial(Class&lt;?&gt;,String,MethodType,Class&lt;?&gt;)",MethodHandle,the desired method handle
"java.lang.invoke.MethodHandles.Lookup.findGetter(Class&lt;?&gt;,String,Class&lt;?&gt;)",MethodHandle,a method handle which can load values from the field
"java.lang.invoke.MethodHandles.Lookup.findSetter(Class&lt;?&gt;,String,Class&lt;?&gt;)",MethodHandle,a method handle which can store values into the field
"java.lang.invoke.MethodHandles.Lookup.findStaticGetter(Class&lt;?&gt;,String,Class&lt;?&gt;)",MethodHandle,a method handle which can load values from the field
"java.lang.invoke.MethodHandles.Lookup.findStaticSetter(Class&lt;?&gt;,String,Class&lt;?&gt;)",MethodHandle,a method handle which can store values into the field
"java.lang.invoke.MethodHandles.Lookup.bind(Object,String,MethodType)",MethodHandle,the desired method handle
java.lang.invoke.MethodHandles.Lookup.unreflect(Method),MethodHandle,a method handle which can invoke the reflected method
"java.lang.invoke.MethodHandles.Lookup.unreflectSpecial(Method,Class&lt;?&gt;)",MethodHandle,a method handle which can invoke the reflected method
java.lang.invoke.MethodHandles.Lookup.unreflectConstructor(Constructor&lt;?&gt;),MethodHandle,a method handle which can invoke the reflected constructor
java.lang.invoke.MethodHandles.Lookup.unreflectGetter(Field),MethodHandle,a method handle which can load values from the reflected field
java.lang.invoke.MethodHandles.Lookup.unreflectSetter(Field),MethodHandle,a method handle which can store values into the reflected field
java.lang.invoke.MethodHandles.Lookup.revealDirect(MethodHandle),MethodHandleInfo,a symbolic reference which can be used to reconstruct this method handle from this lookup object
"java.lang.invoke.MethodType.methodType(Class&lt;?&gt;,Class&lt;?&gt;[])",MethodType,a method type with the given components
"java.lang.invoke.MethodType.methodType(Class&lt;?&gt;,List&lt;Class&lt;?&gt;&gt;)",MethodType,a method type with the given components
"java.lang.invoke.MethodType.methodType(Class&lt;?&gt;,Class&lt;?&gt;,Class&lt;?&gt;...)",MethodType,a method type with the given components
java.lang.invoke.MethodType.methodType(Class&lt;?&gt;),MethodType,a method type with the given return value
"java.lang.invoke.MethodType.methodType(Class&lt;?&gt;,Class&lt;?&gt;)",MethodType,a method type with the given return value and parameter type
"java.lang.invoke.MethodType.methodType(Class&lt;?&gt;,MethodType)",MethodType,a method type with the given components
"java.lang.invoke.MethodType.genericMethodType(int,boolean)",MethodType,"a generally applicable method type, for all calls of the given fixed argument count and a collected array of further arguments"
java.lang.invoke.MethodType.genericMethodType(int),MethodType,"a generally applicable method type, for all calls of the given argument count"
"java.lang.invoke.MethodType.changeParameterType(int,Class&lt;?&gt;)",MethodType,"the same type, except with the selected parameter changed"
"java.lang.invoke.MethodType.insertParameterTypes(int,Class&lt;?&gt;...)",MethodType,"the same type, except with the selected parameter(s) inserted"
java.lang.invoke.MethodType.appendParameterTypes(Class&lt;?&gt;...),MethodType,"the same type, except with the selected parameter(s) appended"
"java.lang.invoke.MethodType.insertParameterTypes(int,List&lt;Class&lt;?&gt;&gt;)",MethodType,"the same type, except with the selected parameter(s) inserted"
java.lang.invoke.MethodType.appendParameterTypes(List&lt;Class&lt;?&gt;&gt;),MethodType,"the same type, except with the selected parameter(s) appended"
"java.lang.invoke.MethodType.dropParameterTypes(int,int)",MethodType,"the same type, except with the selected parameter(s) removed"
java.lang.invoke.MethodType.changeReturnType(Class&lt;?&gt;),MethodType,"the same type, except with the return type change"
java.lang.invoke.MethodType.hasPrimitives(),boolean,true if any of the types are primitives
java.lang.invoke.MethodType.hasWrappers(),boolean,true if any of the types are wrappers
java.lang.invoke.MethodType.erase(),MethodType,a version of the original type with all reference types replaced
java.lang.invoke.MethodType.generic(),MethodType,a version of the original type with all types replaced
java.lang.invoke.MethodType.wrap(),MethodType,a version of the original type with all primitive types replaced
java.lang.invoke.MethodType.unwrap(),MethodType,a version of the original type with all wrapper types replaced
java.lang.invoke.MethodType.parameterType(int),Class&lt;?&gt;,the selected parameter type
java.lang.invoke.MethodType.parameterCount(),int,the number of parameter types
java.lang.invoke.MethodType.returnType(),Class&lt;?&gt;,the return type
java.lang.invoke.MethodType.parameterList(),List&lt;Class&lt;?&gt;&gt;,the parameter types (as an immutable list)
java.lang.invoke.MethodType.parameterArray(),Class&lt;?&gt;[],the parameter types (as a fresh copy if necessary)
java.lang.invoke.MethodType.equals(Object),boolean,true if this object is the same as the obj argument; false otherwise.
java.lang.invoke.MethodType.hashCode(),int,the hash code value for this method type
java.lang.invoke.MethodType.toString(),String,a string representation of the object.
"java.lang.invoke.MethodType.fromMethodDescriptorString(String,ClassLoader)",MethodType,a method type matching the bytecode-level type descriptor
java.lang.invoke.MethodType.toMethodDescriptorString(),String,the bytecode type descriptor representation
java.lang.invoke.MutableCallSite.getTarget(),MethodHandle,"the linkage state of this call site, a method handle which can change over time"
java.lang.invoke.MutableCallSite.setTarget(MethodHandle),void,
java.lang.invoke.MutableCallSite.dynamicInvoker(),MethodHandle,a method handle which always invokes this call site's current target
java.lang.invoke.MutableCallSite.syncAll(MutableCallSite[]),void,
java.lang.invoke.SerializedLambda.getCapturingClass(),String,the name of the class that captured this lambda
java.lang.invoke.SerializedLambda.getFunctionalInterfaceClass(),String,the name of the functional interface class to which this lambda has been converted
java.lang.invoke.SerializedLambda.getFunctionalInterfaceMethodName(),String,the name of the primary methods of the functional interface
java.lang.invoke.SerializedLambda.getFunctionalInterfaceMethodSignature(),String,the signature of the primary method of the functional interface
java.lang.invoke.SerializedLambda.getImplClass(),String,the name of the class containing the implementation method
java.lang.invoke.SerializedLambda.getImplMethodName(),String,the name of the implementation method
java.lang.invoke.SerializedLambda.getImplMethodSignature(),String,the signature of the implementation method
java.lang.invoke.SerializedLambda.getImplMethodKind(),int,the method handle kind of the implementation method
java.lang.invoke.SerializedLambda.getInstantiatedMethodType(),String,the signature of the primary functional interface method after type variable processing
java.lang.invoke.SerializedLambda.getCapturedArgCount(),int,the count of dynamic arguments to the lambda capture site
java.lang.invoke.SerializedLambda.getCapturedArg(int),Object,a dynamic argument to the lambda capture site
java.lang.invoke.SerializedLambda.toString(),String,a string representation of the object.
java.lang.invoke.SwitchPoint.hasBeenInvalidated(),boolean,true if this switch point has been invalidated
"java.lang.invoke.SwitchPoint.guardWithTest(MethodHandle,MethodHandle)",MethodHandle,a combined method handle which always calls either the target or fallback
java.lang.invoke.SwitchPoint.invalidateAll(SwitchPoint[]),void,
java.lang.invoke.VolatileCallSite.getTarget(),MethodHandle,"the linkage state of this call site, a method handle which can change over time"
java.lang.invoke.VolatileCallSite.setTarget(MethodHandle),void,
java.lang.invoke.VolatileCallSite.dynamicInvoker(),MethodHandle,a method handle which always invokes this call site's current target
java.lang.management.LockInfo.getClassName(),String,the fully qualified name of the class of the lock object.
java.lang.management.LockInfo.getIdentityHashCode(),int,the identity hash code of the lock object.
java.lang.management.LockInfo.from(CompositeData),LockInfo,a LockInfo object represented by cd if cd is not null; null otherwise.
java.lang.management.LockInfo.toString(),String,the string representation of a lock.
java.lang.management.ManagementFactory.getClassLoadingMXBean(),ClassLoadingMXBean,a ClassLoadingMXBean object for the Java virtual machine.
java.lang.management.ManagementFactory.getMemoryMXBean(),MemoryMXBean,a MemoryMXBean object for the Java virtual machine.
