method,throws,throws_description
"java.awt.font.LineBreakMeasurer.deleteChar(AttributedCharacterIterator,int)",IndexOutOfBoundsException , if deletePos is less than the start of newParagraph or greater than the end of newParagraph
java.awt.font.NumericShaper.getShaper(int),IllegalArgumentException , if the range is not a single range
java.awt.font.NumericShaper.getShaper(NumericShaper.Range),NullPointerException , if singleRange is null
java.awt.font.NumericShaper.getContextualShaper(Set&lt;NumericShaper.Range&gt;),NullPointerException , if ranges is null.
"java.awt.font.NumericShaper.getContextualShaper(int,int)",IllegalArgumentException , if the specified defaultContext is not a single valid range.
"java.awt.font.NumericShaper.getContextualShaper(Set&lt;NumericShaper.Range&gt;,NumericShaper.Range)",NullPointerException , if ranges or defaultContext is null
"java.awt.font.NumericShaper.shape(char[],int,int)",IndexOutOfBoundsException , if start or start + count is out of bounds
"java.awt.font.NumericShaper.shape(char[],int,int,int)",IndexOutOfBoundsException , if start or start + count is out of bounds
"java.awt.font.NumericShaper.shape(char[],int,int,NumericShaper.Range)",IndexOutOfBoundsException , if start or start + count is out of bounds
java.awt.font.TextAttribute.readResolve(),InvalidObjectException , if the object to resolve is not an instance of Attribute
java.awt.font.TextLayout.getJustifiedLayout(float),Error ," if this layout has already been justified, an Error is thrown."
"java.awt.font.TextLayout.hitToPoint(TextHitInfo,Point2D)",IllegalArgumentException , if the hit is not valid for the TextLayout.
"java.awt.font.TextMeasurer.getLineBreakIndex(int,float)",IllegalArgumentException , if start is less than the beginning of the paragraph.
"java.awt.font.TextMeasurer.getAdvanceBetween(int,int)",IndexOutOfBoundsException , if limit is less than start
"java.awt.font.TextMeasurer.getLayout(int,int)",IndexOutOfBoundsException , if limit is less than start
"java.awt.font.TextMeasurer.insertChar(AttributedCharacterIterator,int)",IndexOutOfBoundsException , if insertPos is less than the start of newParagraph or greater than or equal to the end of newParagraph
"java.awt.font.TextMeasurer.deleteChar(AttributedCharacterIterator,int)",IndexOutOfBoundsException , if deletePos is less than the start of newParagraph or greater than the end of newParagraph
java.awt.geom.AffineTransform.createInverse(),NoninvertibleTransformException , if the matrix cannot be inverted.
java.awt.geom.AffineTransform.invert(),NoninvertibleTransformException , if the matrix cannot be inverted.
"java.awt.geom.AffineTransform.inverseTransform(Point2D,Point2D)",NoninvertibleTransformException , if the matrix cannot be inverted.
"java.awt.geom.AffineTransform.inverseTransform(double[],int,double[],int,int)",NoninvertibleTransformException , if the matrix cannot be inverted.
java.awt.geom.Arc2D.setArcType(int),IllegalArgumentException ," if type is not 0, 1, or 2.+"
java.awt.geom.Area.add(Area),NullPointerException , if rhs is null
java.awt.geom.Area.subtract(Area),NullPointerException , if rhs is null
java.awt.geom.Area.intersect(Area),NullPointerException , if rhs is null
java.awt.geom.Area.exclusiveOr(Area),NullPointerException , if rhs is null
java.awt.geom.Area.transform(AffineTransform),NullPointerException , if t is null
java.awt.geom.Area.createTransformedArea(AffineTransform),NullPointerException , if t is null
java.awt.geom.CubicCurve2D.clone(),OutOfMemoryError , if there is not enough memory.
java.awt.geom.Dimension2D.clone(),OutOfMemoryError , if there is not enough memory.
java.awt.geom.FlatteningPathIterator.currentSegment(float[]),NoSuchElementException , if there are no more elements in the flattening path to be returned.
java.awt.geom.FlatteningPathIterator.currentSegment(double[]),NoSuchElementException , if there are no more elements in the flattening path to be returned.
java.awt.geom.Line2D.clone(),OutOfMemoryError , if there is not enough memory.
java.awt.geom.Path2D.setWindingRule(int),IllegalArgumentException , if rule is not either WIND_EVEN_ODD or WIND_NON_ZERO
java.awt.geom.Path2D.clone(),OutOfMemoryError , if there is not enough memory.
java.awt.geom.Path2D.Double.clone(),OutOfMemoryError , if there is not enough memory.
java.awt.geom.Path2D.Float.clone(),OutOfMemoryError , if there is not enough memory.
java.awt.geom.Point2D.clone(),OutOfMemoryError , if there is not enough memory.
java.awt.geom.QuadCurve2D.clone(),OutOfMemoryError , if there is not enough memory.
java.awt.geom.RectangularShape.clone(),OutOfMemoryError , if there is not enough memory.
java.awt.im.InputContext.setCompositionEnabled(boolean),UnsupportedOperationException , if there is no current input method available or the current input method does not support the enabling/disabling operation
java.awt.im.InputContext.isCompositionEnabled(),UnsupportedOperationException , if there is no current input method available or the current input method does not support checking whether it is enabled for composition
java.awt.im.InputContext.reconvert(),UnsupportedOperationException , if there is no current input method available or the current input method does not support the reconversion operation.
java.awt.im.InputContext.dispatchEvent(AWTEvent),NullPointerException , if event is null
java.awt.im.InputContext.removeNotify(Component),NullPointerException , if client is null
"java.awt.image.AffineTransformOp.filter(BufferedImage,BufferedImage)",IllegalArgumentException , if src and dst are the same
"java.awt.image.AffineTransformOp.filter(Raster,WritableRaster)",ImagingOpException ," if the raster cannot be transformed because of a data-processing error that might be caused by an invalid image format, tile format, or image-processing operation, or any other unsupported operation."
"java.awt.image.BandCombineOp.filter(Raster,WritableRaster)",IllegalArgumentException , If the number of bands in the source or destination is incompatible with the matrix.
java.awt.image.BandCombineOp.getBounds2D(Raster),IllegalArgumentException , If the number of bands in the source is incompatible with the matrix.
"java.awt.image.BandedSampleModel.createCompatibleSampleModel(int,int)",IllegalArgumentException , if w or h equals either Integer.MAX_VALUE or Integer.MIN_VALUE
java.awt.image.BandedSampleModel.createSubsetSampleModel(int[]),RasterFormatException , if the number of bands is greater than the number of banks in this sample model.
java.awt.image.BandedSampleModel.createDataBuffer(),IllegalArgumentException , if dataType is not one of the supported types.
"java.awt.image.BufferedImage.getProperty(String,ImageObserver)",NullPointerException , if the property name is null.
java.awt.image.BufferedImage.getProperty(String),NullPointerException , if the property name is null.
"java.awt.image.BufferedImage.getSubimage(int,int,int,int)",RasterFormatException , if the specified area is not contained within this BufferedImage.
"java.awt.image.BufferedImage.getTile(int,int)",ArrayIndexOutOfBoundsException , if both tileX and tileY are not equal to 0
"java.awt.image.BufferedImage.isTileWritable(int,int)",ArrayIndexOutOfBoundsException , if both tileX and tileY are not equal to 0
"java.awt.image.BufferedImageFilter.setPixels(int,int,int,int,ColorModel,byte[],int,int)",IllegalArgumentException , if width or height are less than zero.
"java.awt.image.BufferedImageFilter.setPixels(int,int,int,int,ColorModel,int[],int,int)",IllegalArgumentException , if width or height are less than zero.
java.awt.image.BufferedImageFilter.imageComplete(int),ImagingOpException , if there was a problem calling the filter method of the BufferedImageOp associated with this instance.
"java.awt.image.ByteLookupTable.lookupPixel(int[],int[])",ArrayIndexOutOfBoundsException ," if src is longer than dst or if for any element i of src, src[i]-offset is either less than zero or greater than or equal to the length of the lookup table for any band."
"java.awt.image.ByteLookupTable.lookupPixel(byte[],byte[])",ArrayIndexOutOfBoundsException ," if src is longer than dst or if for any element i of src, (src[i]&amp;0xff)-offset is either less than zero or greater than or equal to the length of the lookup table for any band."
"java.awt.image.ColorConvertOp.filter(BufferedImage,BufferedImage)",IllegalArgumentException ," if dest is null and this op was constructed using the constructor which takes only a RenderingHints argument, since the operation is ill defined."
"java.awt.image.ColorConvertOp.filter(Raster,WritableRaster)",IllegalArgumentException ," if the number of source or destination bands is incorrect, the source or destination color spaces are undefined, or this op was constructed with one of the constructors that applies only to operations on BufferedImages."
"java.awt.image.ColorConvertOp.createCompatibleDestImage(BufferedImage,ColorModel)",IllegalArgumentException , if destCM is null and this ColorConvertOp was created without any ICC_Profile or ColorSpace defined for the destination
java.awt.image.ColorConvertOp.createCompatibleDestRaster(Raster),IllegalArgumentException , if this ColorConvertOp was created without sufficient information to define the dst and src color spaces
java.awt.image.ColorModel.getComponentSize(int),ArrayIndexOutOfBoundsException , if componentIdx is greater than the number of components or less than zero
java.awt.image.ColorModel.getRed(Object),ClassCastException , if inData is not a primitive array of type transferType
java.awt.image.ColorModel.getGreen(Object),ClassCastException , if inData is not a primitive array of type transferType
java.awt.image.ColorModel.getBlue(Object),ClassCastException , if inData is not a primitive array of type transferType
java.awt.image.ColorModel.getAlpha(Object),ClassCastException , if inData is not a primitive array of type transferType
"java.awt.image.ColorModel.getDataElements(int,Object)",ClassCastException , if pixel is not a primitive array of type transferType
"java.awt.image.ColorModel.getComponents(int,int[],int)",UnsupportedOperationException , if this method is not supported by this ColorModel
"java.awt.image.ColorModel.getComponents(Object,int[],int)",UnsupportedOperationException , if this method is not supported by this ColorModel
"java.awt.image.ColorModel.getUnnormalizedComponents(float[],int,int[],int)",IllegalArgumentException , If the component values for this ColorModel are not conveniently representable in the unnormalized form.
"java.awt.image.ColorModel.getNormalizedComponents(int[],int,float[],int)",IllegalArgumentException , If the component values for this ColorModel are not conveniently representable in the unnormalized form.
"java.awt.image.ColorModel.getDataElement(int[],int)",IllegalArgumentException , if pixel values for this ColorModel are not conveniently representable as a single int
"java.awt.image.ColorModel.getDataElements(int[],int,Object)",ClassCastException , if obj is not a primitive array of type transferType
"java.awt.image.ColorModel.getDataElement(float[],int)",IllegalArgumentException , if pixel values for this ColorModel are not conveniently representable as a single int
"java.awt.image.ColorModel.getDataElements(float[],int,Object)",ClassCastException , if obj is not a primitive array of type transferType
"java.awt.image.ColorModel.getNormalizedComponents(Object,float[],int)",ClassCastException , if pixel is not a primitive array of type transferType
java.awt.image.ColorModel.isCompatibleRaster(Raster),UnsupportedOperationException , if this method has not been implemented for this ColorModel
"java.awt.image.ColorModel.createCompatibleWritableRaster(int,int)",UnsupportedOperationException , if this method is not supported by this ColorModel
"java.awt.image.ColorModel.createCompatibleSampleModel(int,int)",UnsupportedOperationException , if this method is not supported by this ColorModel
java.awt.image.ColorModel.isCompatibleSampleModel(SampleModel),UnsupportedOperationException , if this method is not supported by this ColorModel
java.awt.image.ComponentColorModel.getRed(int),IllegalArgumentException , If there is more than one component in this ColorModel.
java.awt.image.ComponentColorModel.getGreen(int),IllegalArgumentException , If there is more than one component in this ColorModel.
java.awt.image.ComponentColorModel.getBlue(int),IllegalArgumentException , If there is more than one component in this ColorModel.
java.awt.image.ComponentColorModel.getAlpha(int),IllegalArgumentException , If there is more than one component in this ColorModel.
java.awt.image.ComponentColorModel.getRGB(int),IllegalArgumentException , If there is more than one component in this ColorModel.
java.awt.image.ComponentColorModel.getRed(Object),ClassCastException , If inData is not a primitive array of type transferType.
java.awt.image.ComponentColorModel.getGreen(Object),ClassCastException , If inData is not a primitive array of type transferType.
java.awt.image.ComponentColorModel.getBlue(Object),ClassCastException , If inData is not a primitive array of type transferType.
java.awt.image.ComponentColorModel.getAlpha(Object),ClassCastException , If inData is not a primitive array of type transferType.
java.awt.image.ComponentColorModel.getRGB(Object),ClassCastException , If inData is not a primitive array of type transferType.
"java.awt.image.ComponentColorModel.getDataElements(int,Object)",ClassCastException , If pixel is not null and is not a primitive array of type transferType.
"java.awt.image.ComponentColorModel.getComponents(int,int[],int)",IllegalArgumentException , If there is more than one component in this ColorModel.
"java.awt.image.ComponentColorModel.getComponents(Object,int[],int)",IllegalArgumentException , If this ComponentColorModel does not support the unnormalized form
"java.awt.image.ComponentColorModel.getUnnormalizedComponents(float[],int,int[],int)",IllegalArgumentException , If this ComponentColorModel does not support the unnormalized form
"java.awt.image.ComponentColorModel.getNormalizedComponents(int[],int,float[],int)",IllegalArgumentException , If this ComponentColorModel does not support the unnormalized form
"java.awt.image.ComponentColorModel.getDataElement(int[],int)",IllegalArgumentException , If there is more than one component in this ColorModel.
"java.awt.image.ComponentColorModel.getDataElements(int[],int,Object)",IllegalArgumentException , If the components array is not large enough to hold all the color and alpha components (starting at offset).
"java.awt.image.ComponentColorModel.getDataElement(float[],int)",IllegalArgumentException , if pixel values for this ColorModel are not conveniently representable as a single int
"java.awt.image.ComponentColorModel.getDataElements(float[],int,Object)",ClassCastException , if obj is not a primitive array of type transferType
"java.awt.image.ComponentColorModel.getNormalizedComponents(Object,float[],int)",ClassCastException , if pixel is not a primitive array of type transferType
"java.awt.image.ComponentColorModel.coerceData(WritableRaster,boolean)",NullPointerException , if raster is null and data coercion is required.
"java.awt.image.ComponentSampleModel.createCompatibleSampleModel(int,int)",IllegalArgumentException , if w or h is not greater than 0
"java.awt.image.ComponentSampleModel.getDataElements(int,int,Object,DataBuffer)",NullPointerException , if data is null.
"java.awt.image.ComponentSampleModel.getPixel(int,int,int[],DataBuffer)",NullPointerException , if data is null.
"java.awt.image.ConvolveOp.filter(BufferedImage,BufferedImage)",NullPointerException , if src is null
"java.awt.image.ConvolveOp.filter(Raster,WritableRaster)",NullPointerException , if src is null
java.awt.image.DataBuffer.getDataTypeSize(int),IllegalArgumentException , if type is less than zero or greater than TYPE_DOUBLE
java.awt.image.DirectColorModel.getRed(Object),ArrayIndexOutOfBoundsException , if inData is not large enough to hold a pixel value for this color model
java.awt.image.DirectColorModel.getGreen(Object),ArrayIndexOutOfBoundsException , if inData is not large enough to hold a pixel value for this color model
java.awt.image.DirectColorModel.getBlue(Object),ArrayIndexOutOfBoundsException , if inData is not large enough to hold a pixel value for this color model
java.awt.image.DirectColorModel.getAlpha(Object),ClassCastException , if inData is not a primitive array of type transferType
java.awt.image.DirectColorModel.getRGB(Object),UnsupportedOperationException , if this transferType is not supported by this ColorModel
"java.awt.image.DirectColorModel.getDataElements(int,Object)",ClassCastException , if pixel is not a primitive array of type transferType
"java.awt.image.DirectColorModel.getComponents(Object,int[],int)",ClassCastException , if pixel is not a primitive array of type transferType
"java.awt.image.DirectColorModel.createCompatibleWritableRaster(int,int)",IllegalArgumentException , if w or h is less than or equal to zero
"java.awt.image.DirectColorModel.getDataElement(int[],int)",ArrayIndexOutOfBoundsException , if the components array is not large enough to hold all of the color and alpha components starting at offset
"java.awt.image.DirectColorModel.getDataElements(int[],int,Object)",ClassCastException , if obj is not a primitive array of type transferType
"java.awt.image.DirectColorModel.coerceData(WritableRaster,boolean)",UnsupportedOperationException , if this transferType is not supported by this color model
"java.awt.image.ImageFilter.setProperties(Hashtable&lt;?,?&gt;)",NullPointerException , if props is null
"java.awt.image.IndexColorModel.getDataElements(int,Object)",ClassCastException , if pixel is not a primitive array of type transferType
"java.awt.image.IndexColorModel.getComponents(Object,int[],int)",ArrayIndexOutOfBoundsException , if pixel is not large enough to hold a pixel value for this ColorModel or if the components array is not null and is not large enough to hold all the color and alpha components starting at offset
"java.awt.image.IndexColorModel.getDataElement(int[],int)",ArrayIndexOutOfBoundsException , if the components array is not large enough to hold all of the color and alpha components starting at offset
"java.awt.image.IndexColorModel.getDataElements(int[],int,Object)",ClassCastException , if pixel is not a primitive array of type transferType
"java.awt.image.IndexColorModel.createCompatibleWritableRaster(int,int)",UnsupportedOperationException , if the number of bits in a pixel is greater than 16
"java.awt.image.IndexColorModel.createCompatibleSampleModel(int,int)",IllegalArgumentException , if w or h is not greater than 0
"java.awt.image.IndexColorModel.convertToIntDiscrete(Raster,boolean)",IllegalArgumentException , if the raster argument is not compatible with this IndexColorModel
java.awt.image.Kernel.getKernelData(float[]),IllegalArgumentException , if data is less than the size of this Kernel
"java.awt.image.LookupOp.filter(BufferedImage,BufferedImage)",IllegalArgumentException ," if the number of arrays in the LookupTable does not meet the restrictions described in the class comments, or if the source image has an IndexColorModel."
"java.awt.image.LookupOp.filter(Raster,WritableRaster)",IllegalArgumentException ," if the source and destinations rasters do not have the same number of bands, or the number of arrays in the LookupTable does not meet the restrictions described in the class comments."
java.awt.image.MemoryImageSource.addConsumer(ImageConsumer),NullPointerException , if the specified ImageConsumer is null
"java.awt.image.MultiPixelPackedSampleModel.createCompatibleSampleModel(int,int)",IllegalArgumentException , if w or h is not greater than 0
java.awt.image.MultiPixelPackedSampleModel.createSubsetSampleModel(int[]),RasterFormatException , if the number of bands requested is not one.
"java.awt.image.MultiPixelPackedSampleModel.getSample(int,int,int,DataBuffer)",ArrayIndexOutOfBoundsException , if the specified coordinates are not in bounds.
"java.awt.image.MultiPixelPackedSampleModel.setSample(int,int,int,int,DataBuffer)",ArrayIndexOutOfBoundsException , if the coordinates are not in bounds.
"java.awt.image.MultiPixelPackedSampleModel.getDataElements(int,int,Object,DataBuffer)",ClassCastException , if obj is not a primitive array of type TransferType or is not null
"java.awt.image.MultiPixelPackedSampleModel.getPixel(int,int,int[],DataBuffer)",ArrayIndexOutOfBoundsException , if the coordinates are not in bounds
java.awt.image.PackedColorModel.getMask(int),ArrayIndexOutOfBoundsException , if index is greater than the number of components minus 1 in this PackedColorModel or if index is less than zero
"java.awt.image.PackedColorModel.createCompatibleSampleModel(int,int)",IllegalArgumentException , if w or h is not greater than 0
java.awt.image.PixelGrabber.grabPixels(),InterruptedException , Another thread has interrupted this thread.
"java.awt.image.PixelInterleavedSampleModel.createCompatibleSampleModel(int,int)",IllegalArgumentException , if w or h is not greater than 0
"java.awt.image.Raster.createInterleavedRaster(int,int,int,int,Point)",RasterFormatException ," if w or h is less than or equal to zero, or computing either location.x + w or location.y + h results in integer overflow"
"java.awt.image.Raster.createInterleavedRaster(int,int,int,int,int,int[],Point)",RasterFormatException ," if w or h is less than or equal to zero, or computing either location.x + w or location.y + h results in integer overflow"
"java.awt.image.Raster.createBandedRaster(int,int,int,int,Point)",RasterFormatException ," if w or h is less than or equal to zero, or computing either location.x + w or location.y + h results in integer overflow"
"java.awt.image.Raster.createBandedRaster(int,int,int,int,int[],int[],Point)",RasterFormatException ," if w or h is less than or equal to zero, or computing either location.x + w or location.y + h results in integer overflow"
"java.awt.image.Raster.createPackedRaster(int,int,int,int[],Point)",RasterFormatException ," if w or h is less than or equal to zero, or computing either location.x + w or location.y + h results in integer overflow"
"java.awt.image.Raster.createPackedRaster(int,int,int,int,int,Point)",RasterFormatException ," if w or h is less than or equal to zero, or computing either location.x + w or location.y + h results in integer overflow"
"java.awt.image.Raster.createInterleavedRaster(DataBuffer,int,int,int,int,int[],Point)",RasterFormatException ," if w or h is less than or equal to zero, or computing either location.x + w or location.y + h results in integer overflow"
"java.awt.image.Raster.createBandedRaster(DataBuffer,int,int,int,int[],int[],Point)",RasterFormatException ," if w or h is less than or equal to zero, or computing either location.x + w or location.y + h results in integer overflow"
"java.awt.image.Raster.createPackedRaster(DataBuffer,int,int,int,int[],Point)",RasterFormatException ," if w or h is less than or equal to zero, or computing either location.x + w or location.y + h results in integer overflow"
"java.awt.image.Raster.createPackedRaster(DataBuffer,int,int,int,Point)",RasterFormatException ," if w or h is less than or equal to zero, or computing either location.x + w or location.y + h results in integer overflow"
"java.awt.image.Raster.createRaster(SampleModel,DataBuffer,Point)",RasterFormatException , if computing either location.x + sm.getWidth() or location.y + sm.getHeight() results in integer overflow
"java.awt.image.Raster.createWritableRaster(SampleModel,Point)",RasterFormatException , if computing either location.x + sm.getWidth() or location.y + sm.getHeight() results in integer overflow
"java.awt.image.Raster.createWritableRaster(SampleModel,DataBuffer,Point)",RasterFormatException , if computing either location.x + sm.getWidth() or location.y + sm.getHeight() results in integer overflow
"java.awt.image.Raster.createCompatibleWritableRaster(int,int)",RasterFormatException , if the width or height is less than or equal to zero.
java.awt.image.Raster.createCompatibleWritableRaster(Rectangle),RasterFormatException ," if rect has width or height less than or equal to zero, or computing either rect.x + rect.width or rect.y + rect.height results in integer overflow"
"java.awt.image.Raster.createCompatibleWritableRaster(int,int,int,int)",RasterFormatException ," if w or h is less than or equal to zero, or computing either x + w or y + h results in integer overflow"
"java.awt.image.Raster.createTranslatedChild(int,int)",RasterFormatException , if computing either childMinX + this.getWidth() or childMinY + this.getHeight() results in integer overflow
"java.awt.image.Raster.createChild(int,int,int,int,int,int,int[])",RasterFormatException , if the specified subregion is outside of the raster bounds.
"java.awt.image.Raster.getDataElements(int,int,Object)",ArrayIndexOutOfBoundsException ," if the coordinates are not in bounds, or if outData is too small to hold the output."
"java.awt.image.Raster.getDataElements(int,int,int,int,Object)",ArrayIndexOutOfBoundsException ," if the coordinates are not in bounds, or if outData is too small to hold the output."
"java.awt.image.Raster.getPixel(int,int,int[])",ArrayIndexOutOfBoundsException ," if the coordinates are not in bounds, or if iArray is too small to hold the output."
"java.awt.image.Raster.getPixel(int,int,float[])",ArrayIndexOutOfBoundsException ," if the coordinates are not in bounds, or if fArray is too small to hold the output."
"java.awt.image.Raster.getPixel(int,int,double[])",ArrayIndexOutOfBoundsException ," if the coordinates are not in bounds, or if dArray is too small to hold the output."
"java.awt.image.Raster.getPixels(int,int,int,int,int[])",ArrayIndexOutOfBoundsException ," if the coordinates are not in bounds, or if iArray is too small to hold the output."
"java.awt.image.Raster.getPixels(int,int,int,int,float[])",ArrayIndexOutOfBoundsException ," if the coordinates are not in bounds, or if fArray is too small to hold the output."
"java.awt.image.Raster.getPixels(int,int,int,int,double[])",ArrayIndexOutOfBoundsException ," if the coordinates are not in bounds, or if dArray is too small to hold the output."
"java.awt.image.Raster.getSample(int,int,int)",ArrayIndexOutOfBoundsException , if the coordinates or the band index are not in bounds.
"java.awt.image.Raster.getSampleFloat(int,int,int)",ArrayIndexOutOfBoundsException , if the coordinates or the band index are not in bounds.
"java.awt.image.Raster.getSampleDouble(int,int,int)",ArrayIndexOutOfBoundsException , if the coordinates or the band index are not in bounds.
"java.awt.image.Raster.getSamples(int,int,int,int,int,int[])",ArrayIndexOutOfBoundsException ," if the coordinates or the band index are not in bounds, or if iArray is too small to hold the output."
"java.awt.image.Raster.getSamples(int,int,int,int,int,float[])",ArrayIndexOutOfBoundsException ," if the coordinates or the band index are not in bounds, or if fArray is too small to hold the output."
"java.awt.image.Raster.getSamples(int,int,int,int,int,double[])",ArrayIndexOutOfBoundsException ," if the coordinates or the band index are not in bounds, or if dArray is too small to hold the output."
"java.awt.image.RescaleOp.filter(BufferedImage,BufferedImage)",IllegalArgumentException ," if the ColorModel of src is an IndexColorModel, or if the number of scaling factors and offsets in this RescaleOp do not meet the requirements stated in the class comments."
"java.awt.image.RescaleOp.filter(Raster,WritableRaster)",IllegalArgumentException ," if src and dst do not have the same number of bands, or if the number of scaling factors and offsets in this RescaleOp do not meet the requirements stated in the class comments."
java.awt.image.RGBImageFilter.filterIndexColorModel(IndexColorModel),NullPointerException , if icm is null
"java.awt.image.SampleModel.getPixel(int,int,int[],DataBuffer)",NullPointerException , if data is null.
"java.awt.image.SampleModel.getDataElements(int,int,Object,DataBuffer)",NullPointerException , if data is null.
"java.awt.image.SampleModel.getDataElements(int,int,int,int,Object,DataBuffer)",NullPointerException , if data is null.
"java.awt.image.SampleModel.setDataElements(int,int,Object,DataBuffer)",NullPointerException , if data is null.
"java.awt.image.SampleModel.setDataElements(int,int,int,int,Object,DataBuffer)",NullPointerException , if data is null.
"java.awt.image.SampleModel.getPixel(int,int,float[],DataBuffer)",NullPointerException , if data is null.
"java.awt.image.SampleModel.getPixel(int,int,double[],DataBuffer)",NullPointerException , if data is null.
"java.awt.image.SampleModel.getPixels(int,int,int,int,int[],DataBuffer)",NullPointerException , if data is null.
"java.awt.image.SampleModel.getPixels(int,int,int,int,float[],DataBuffer)",NullPointerException , if data is null.
"java.awt.image.SampleModel.getPixels(int,int,int,int,double[],DataBuffer)",NullPointerException , if data is null.
"java.awt.image.SampleModel.getSample(int,int,int,DataBuffer)",NullPointerException , if data is null.
"java.awt.image.SampleModel.getSampleFloat(int,int,int,DataBuffer)",NullPointerException , if data is null.
"java.awt.image.SampleModel.getSampleDouble(int,int,int,DataBuffer)",NullPointerException , if data is null.
"java.awt.image.SampleModel.getSamples(int,int,int,int,int,int[],DataBuffer)",NullPointerException , if data is null.
"java.awt.image.SampleModel.getSamples(int,int,int,int,int,float[],DataBuffer)",NullPointerException , if data is null.
"java.awt.image.SampleModel.getSamples(int,int,int,int,int,double[],DataBuffer)",NullPointerException , if data is null.
"java.awt.image.SampleModel.setPixel(int,int,int[],DataBuffer)",NullPointerException , if iArray or data is null.
"java.awt.image.SampleModel.setPixel(int,int,float[],DataBuffer)",NullPointerException , if fArray or data is null.
"java.awt.image.SampleModel.setPixel(int,int,double[],DataBuffer)",NullPointerException , if dArray or data is null.
"java.awt.image.SampleModel.setPixels(int,int,int,int,int[],DataBuffer)",NullPointerException , if iArray or data is null.
"java.awt.image.SampleModel.setPixels(int,int,int,int,float[],DataBuffer)",NullPointerException , if fArray or data is null.
"java.awt.image.SampleModel.setPixels(int,int,int,int,double[],DataBuffer)",NullPointerException , if dArray or data is null.
"java.awt.image.SampleModel.setSample(int,int,int,int,DataBuffer)",NullPointerException , if data is null.
"java.awt.image.SampleModel.setSample(int,int,int,float,DataBuffer)",NullPointerException , if data is null.
"java.awt.image.SampleModel.setSample(int,int,int,double,DataBuffer)",NullPointerException , if data is null.
"java.awt.image.SampleModel.setSamples(int,int,int,int,int,int[],DataBuffer)",NullPointerException , if iArray or data is null.
"java.awt.image.SampleModel.setSamples(int,int,int,int,int,float[],DataBuffer)",NullPointerException , if fArray or data is null.
"java.awt.image.SampleModel.setSamples(int,int,int,int,int,double[],DataBuffer)",NullPointerException , if dArray or data is null.
"java.awt.image.ShortLookupTable.lookupPixel(int[],int[])",ArrayIndexOutOfBoundsException ," if src is longer than dst or if for any element i of src, (src[i]&amp;0xffff)-offset is either less than zero or greater than or equal to the length of the lookup table for any band."
"java.awt.image.ShortLookupTable.lookupPixel(short[],short[])",ArrayIndexOutOfBoundsException ," if src is longer than dst or if for any element i of src, (src[i]&amp;0xffff)-offset is either less than zero or greater than or equal to the length of the lookup table for any band."
"java.awt.image.SinglePixelPackedSampleModel.createCompatibleSampleModel(int,int)",IllegalArgumentException , if w or h is not greater than 0
java.awt.image.SinglePixelPackedSampleModel.createSubsetSampleModel(int[]),RasterFormatException , if the length of the bands argument is greater than the number of bands in the sample model.
"java.awt.image.WritableRaster.createWritableTranslatedChild(int,int)",RasterFormatException , if computing either childMinX + this.getWidth() or childMinY + this.getHeight() results in integer overflow
"java.awt.image.WritableRaster.createWritableChild(int,int,int,int,int,int,int[])",RasterFormatException , if the subregion is outside of the raster bounds.
"java.awt.image.WritableRaster.setDataElements(int,int,Object)",ArrayIndexOutOfBoundsException ," if the coordinates are not in bounds, or if inData is too small to hold the input."
"java.awt.image.WritableRaster.setDataElements(int,int,Raster)",NullPointerException , if inRaster is null.
"java.awt.image.WritableRaster.setDataElements(int,int,int,int,Object)",NullPointerException , if inData is null.
java.awt.image.WritableRaster.setRect(Raster),NullPointerException , if srcRaster is null.
"java.awt.image.WritableRaster.setRect(int,int,Raster)",NullPointerException , if srcRaster is null.
"java.awt.image.WritableRaster.setPixel(int,int,int[])",NullPointerException , if iArray is null.
"java.awt.image.WritableRaster.setPixel(int,int,float[])",NullPointerException , if fArray is null.
"java.awt.image.WritableRaster.setPixel(int,int,double[])",NullPointerException , if dArray is null.
"java.awt.image.WritableRaster.setPixels(int,int,int,int,int[])",NullPointerException , if iArray is null.
"java.awt.image.WritableRaster.setPixels(int,int,int,int,float[])",NullPointerException , if fArray is null.
"java.awt.image.WritableRaster.setPixels(int,int,int,int,double[])",NullPointerException , if dArray is null.
"java.awt.image.WritableRaster.setSample(int,int,int,int)",ArrayIndexOutOfBoundsException , if the coordinates or the band index are not in bounds.
"java.awt.image.WritableRaster.setSample(int,int,int,float)",ArrayIndexOutOfBoundsException , if the coordinates or the band index are not in bounds.
"java.awt.image.WritableRaster.setSample(int,int,int,double)",ArrayIndexOutOfBoundsException , if the coordinates or the band index are not in bounds.
"java.awt.image.WritableRaster.setSamples(int,int,int,int,int,int[])",NullPointerException , if iArray is null.
"java.awt.image.WritableRaster.setSamples(int,int,int,int,int,float[])",NullPointerException , if fArray is null.
"java.awt.image.WritableRaster.setSamples(int,int,int,int,int,double[])",NullPointerException , if dArray is null.
java.awt.image.renderable.ParameterBlock.getByteParameter(int),ClassCastException , if the parameter at the specified index is not a Byte
java.awt.image.renderable.ParameterBlock.getCharParameter(int),ClassCastException , if the parameter at the specified index is not a Character
java.awt.image.renderable.ParameterBlock.getShortParameter(int),ClassCastException , if the parameter at the specified index is not a Short
java.awt.image.renderable.ParameterBlock.getIntParameter(int),ClassCastException , if the parameter at the specified index is not a Integer
